Parcel ID,Location,Total Value,Lot size,Sale date,Bed/Bath,Price,lats/long,distance,d_0_4,d_4_8,d_8_12,d_12_16,Fukushima,Fdis1,Fdis2,Fdis3
122-000-005-047,32  BEATRICE AV,"$481,100 ",37858,11/30/04,6,522056,"(41.825711299999995, -70.58150354)",8.09172883,0,0,1,0,0,0,0,0
122-010P-971-000,41  BEATRICE AV,"$426,000 ",25661,9/27/04,6,432190,"(41.82503145, -70.58080178)",8.137605978,0,0,1,0,0,0,0,0
122-010P-995B-000,44  BEATRICE AV,"$418,500 ",30017,9/10/04,6,428850,"(41.825351, -70.58021825)",8.114830777,0,0,1,0,0,0,0,0
122-010P-996-000,48  BEATRICE AV,"$417,300 ",25661,10/14/04,6,440921,"(41.82513915, -70.57981966)",8.129015236,0,0,1,0,0,0,0,0
122-010P-928-000,5  BEATRICE AV,"$456,600 ",37858,7/7/04,6,429031,"(41.8242994, -70.58380716)",8.193581829,0,0,1,0,0,0,0,0
122-010P-998-000,56  BEATRICE AV,"$457,100 ",24790,10/28/04,6,480821,"(41.82518999, -70.58034411)",8.126087752,0,0,1,0,0,0,0,0
122-010P-976-000,65  BEATRICE AV,"$469,700 ",26097,11/30/04,6,481120,"(41.82370225, -70.57926632)",8.227656048,0,0,1,0,0,0,0,0
076-000-024-014,6  BEAVER BROOK DR,"$300,600 ",29146,10/28/04,4,369900,"(41.91166629999999, -70.5740614)",2.159937329,1,0,0,0,0,0,0,0
076-000-024-011,105  BEAVER DAM RD,"$362,100 ",68350,8/12/04,6,475000,"(41.90790891, -70.57521422)",2.416188267,1,0,0,0,0,0,0,0
075-000-026-002,130  BEAVER DAM RD,"$370,700 ",35680,5/28/04,5,380000,"(41.91079025, -70.57310496)",2.223846445,1,0,0,0,0,0,0,0
050-000-030J-012,43  BELLEVUE DR,"$318,000 ",25226,6/30/04,4,74000,"(41.8686224, -70.54007977)",5.463011709,0,1,0,0,0,0,0,0
027-000-058C-000,118  BILLINGTON ST,"$310,600 ",30453,8/3/04,5,360000,"(41.94429281, -70.67366248)",4.997063015,0,1,0,0,0,0,0,0
100-000-027-000U,169R  BILLINGTON ST,"$452,300 ",136304,9/17/04,8,575000,"(41.943168, -70.67477199999999)",5.053386282,0,1,0,0,0,0,0,0
089-000-011-005,296  BILLINGTON ST,"$588,100 ",60074,10/15/04,8,713365,"(41.93709456, -70.67112199)",4.881979218,0,1,0,0,0,0,0,0
090-000-026-002,204  BLACK CAT RD,"$436,600 ",97971,9/27/04,5,475000,"(41.929524, -70.678274)",5.315142972,0,1,0,0,0,0,0,0
051-000-004S-064,10  BOG HOLLOW DR,"$388,100 ",41778,7/13/04,5,432500,"(41.868995, -70.55109399999999)",5.268746318,0,1,0,0,0,0,0,0
112-000-002-039,39  BONNEY BRIAR DR,"$241,600 ",19998,3/2/04,4,267000,"(41.841730600000005, -70.60224620000001)",7.105538305,0,1,0,0,0,0,0,0
112-000-001-023,109  BOURNE RD,"$387,500 ",40472,11/5/04,7,280000,"(41.8413548, -70.60558165)",7.164796705,0,1,0,0,0,0,0,0
112-000-001-030,121  BOURNE RD,"$285,100 ",40036,6/30/04,4,290000,"(41.84061655, -70.60612054)",7.220432217,0,1,0,0,0,0,0,0
112-000-002-002,124  BOURNE RD,"$285,400 ",19998,5/20/04,5,324000,"(41.84008239999999, -70.60567655)",7.251727017,0,1,0,0,0,0,0,0
112-000-002-100,14  BOURNE RD,"$296,500 ",44828,1/30/04,5,300000,"(41.84545245, -70.60244506)",6.855261472,0,1,0,0,0,0,0,0
114-000-019-003,224  BOURNE RD,"$273,400 ",43085,10/15/04,5,348000,"(41.83204233, -70.60871694)",7.827137301,0,1,0,0,0,0,0,0
112-000-002-012,78  BOURNE RD,"$279,800 ",20870,6/1/04,5,286500,"(41.84441739, -70.60316189)",6.932541573,0,1,0,0,0,0,0,0
125-000-007A-030,151  BOURNEHURST DR,"$360,900 ",62252,4/20/04,4,319500,"(41.78637015, -70.61805812)",11.01176997,0,0,1,0,0,0,0,0
027-000-122-000,17  BOUTEMAIN AV,"$219,100 ",15682,7/6/04,2,140000,"(41.9495539, -70.6764189)",5.158438202,0,1,0,0,0,0,0,0
067-000-001-059,33  BOWSPRIT LN,"$394,100 ",61380,1/30/04,5,449900,"(42.12075855, -70.78946532)",16.4482133,0,0,0,0,0,0,0,0
020-000-143-000,26  BRADFORD ST,"$322,600 ",2082,12/22/04,4,325000,"(41.95542575, -70.66042963)",4.399688071,0,1,0,0,0,0,0,0
027-000-033-000,2  BRALEY LN,"$80,400 ",16422,12/23/04,5,60830,"(41.9417522, -70.65811791)",4.196012061,0,1,0,0,0,0,0,0
123-001P-575-000,8  BRANDEIS LN,"$289,900 ",26532,8/27/04,4,318000,"(41.80111035, -70.59725905)",9.843080449,0,0,1,0,0,0,0,0
050-001-344-000,24  BRIGANTINE CIR,"$236,200 ",10454,8/23/04,3,255000,"(41.88089745, -70.54037485)",4.671016847,0,1,0,0,0,0,0,0
048-054-307-000,29  BRIGGS AVE W,"$165,500 ",5001,11/5/04,3,217000,"(41.8993785, -70.55263421)",3.249775752,1,0,0,0,0,0,0,0
048-054-286-000,62  BRIGGS AVE W,"$192,200 ",5001,7/30/04,3,235000,"(41.89855713, -70.55393746)",3.277602583,1,0,0,0,0,0,0,0
025-000-004A-000,5  BROOKSIDE AV,"$302,000 ",9862,12/17/04,5,367900,"(41.94942585, -70.65376348)",3.996115851,1,0,0,0,0,0,0,0
106-000-001-235,8  BRUCE RD,"$303,900 ",20434,2/13/04,5,320000,"(41.9273209, -70.71449815)",7.182139531,0,1,0,0,0,0,0,0
048-052-019-000,36  BRUSH HILL RD,"$236,900 ",6098,7/9/04,6,280000,"(41.900605600000006, -70.54454564)",3.356719695,1,0,0,0,0,0,0,0
048-052-018-000,38  BRUSH HILL RD,"$173,900 ",6098,7/1/04,3,206500,"(41.9007985, -70.54451766)",3.345862377,1,0,0,0,0,0,0,0
061-000-014-053,60  BUCKSKIN PATH,"$395,500 ",61816,10/8/04,4,397000,"(41.8394386, -70.55783909)",7.206474059,0,1,0,0,0,0,0,0
054-000-010A-083,34  BURNSIDE ST,"$294,100 ",18295,10/29/04,4,305000,"(41.808479999999996, -70.5466)",9.40618366,0,0,1,0,0,0,0,0
054-000-010A-082,35  BURNSIDE ST,"$381,600 ",17041,8/16/04,5,389900,"(41.808769500000004, -70.54679333)",9.384833441,0,0,1,0,0,0,0,0
130-002-000A-026,44  BUTTONWOOD LN,"$139,900 ",6534,5/28/04,3,207000,"(41.76604865, -70.62718874)",12.48048919,0,0,0,1,0,0,0,0
130-002-000A-012,10  BUZZARDS BAY DR,"$195,700 ",7405,6/24/04,3,230000,"(41.7658269, -70.62661223)",12.48928955,0,0,0,1,0,0,0,0
099-000-004A-012,70  CANTERBURY DR,"$374,900 ",45699,5/14/04,6,403000,"(41.90180936, -70.70647887)",7.265598704,0,1,0,0,0,0,0,0
049-002-158-000,11  CAPE VIEW DR,"$202,800 ",6098,5/27/04,4,247000,"(41.894012, -70.53988917)",3.871035439,1,0,0,0,0,0,0,0
049-003-173-000,35  CAPE VIEW DR,"$409,800 ",5663,4/20/04,7,600000,"(41.8946408, -70.53771458)",3.889968841,1,0,0,0,0,0,0,0
074-000-038-023,23  CAROLYN DR,"$279,100 ",19998,8/23/04,4,314450,"(41.89685844, -70.5593262)",3.301422756,1,0,0,0,0,0,0,0
103-000-006-048,10  CARVER RD,"$291,000 ",24790,10/27/04,4,320000,"(41.94463455, -70.69417301)",6.054141793,0,1,0,0,0,0,0,0
106-000-016G-000,200  CARVER RD,"$291,500 ",13504,11/2/04,6,339000,"(41.933526799999996, -70.72508291)",7.673613112,0,1,0,0,0,0,0,0
057-000-035-002,47  CEDAR OAK DR,"$465,800 ",183348,10/29/04,6,520000,"(41.79532662, -70.55728323)",10.23408278,0,0,1,0,0,0,0,0
050-000-008B-000,2  CENTER HILL RD,"$936,000 ",43085,1/30/04,7,1010000,"(41.86840695, -70.53498225)",5.573029048,0,1,0,0,0,0,0,0
050-000-004F-000,30  CENTER HILL RD,"$303,800 ",38729,12/17/04,4,319800,"(41.86603220000001, -70.53312059999999)",5.761341736,0,1,0,0,0,0,0,0
078D-000-016-171,36  CHAMPLAIN CIR,"$450,800 ",6813,8/24/04,5,419580,"(41.88693370000001, -70.57774885)",3.862988416,1,0,0,0,0,0,0,0
078D-000-016-154,44  CHAMPLAIN CIR,"$401,600 ",7858,3/1/04,4,387640,"(41.8872051, -70.57806190000001)",3.844520044,1,0,0,0,0,0,0,0
078D-000-016-155,48  CHAMPLAIN CIR,"$447,300 ",7423,6/11/04,5,407650,"(41.887252200000006, -70.57830675)",3.841521328,1,0,0,0,0,0,0,0
078D-000-016-126,51  CHAMPLAIN CIR,"$478,900 ",7113,3/31/04,6,466265,"(41.88761485, -70.57856640000001)",3.816812327,1,0,0,0,0,0,0,0
078D-000-016-157B,54  CHAMPLAIN CIR,"$382,000 ",6029,6/2/04,4,337625,"(41.88656381, -70.57784732)",3.888588294,1,0,0,0,0,0,0,0
078D-000-016-123A,59  CHAMPLAIN CIR,"$457,400 ",7675,5/26/04,5,402080,"(41.88752685, -70.57924864)",3.823930581,1,0,0,0,0,0,0,0
078D-000-016-188,9  CHAMPLAIN CIR,"$441,400 ",7614,9/17/04,6,408725,"(41.8861434, -70.57936156)",3.919555778,1,0,0,0,0,0,0,0
104-000-010-013,13  CHARLOTTE DR,"$295,400 ",19998,2/27/04,5,326000,"(41.93843355, -70.72137023)",7.46106377,0,1,0,0,0,0,0,0
004-000-033B-000,681/2  CHERRY ST,"$245,100 ",10080,7/14/04,4,81500,"(41.964138, -70.703264)",6.683114103,0,1,0,0,0,0,0,0
004-000-011-000,6  CHERRY ST CT,"$249,600 ",14401,6/8/04,4,296000,"(41.972034, -70.69188100000001)",6.265028075,0,1,0,0,0,0,0,0
004-000-073-000,8  CHERRY ST CT,"$254,200 ",8398,3/15/04,5,300000,"(41.9717225, -70.69255579)",6.291143795,0,1,0,0,0,0,0,0
032-000-032A-003,14  CHERRYWOOD CIR,"$363,600 ",20003,4/13/04,6,435000,"(41.96564195, -70.68997479)",6.043076176,0,1,0,0,0,0,0,0
032-000-032A-006,21  CHERRYWOOD CIR,"$333,100 ",20870,10/15/04,5,409000,"(41.96502685, -70.69045226)",6.056016559,0,1,0,0,0,0,0,0
074-000-033-029,16  CHICKADEE WAY,"$174,200 ",11326,7/20/04,3,192000,"(41.90059035, -70.55864028)",3.064860357,1,0,0,0,0,0,0,0
026-000-015-036,8  CHRISTOPHER RD,"$358,900 ",20804,6/30/04,5,400000,"(41.9378782, -70.64357435)",3.463360549,1,0,0,0,0,0,0,0
038-000-019B-000,78  CLIFF ST,"$444,400 ",15499,5/25/04,6,351500,"(41.938995299999995, -70.63206879)",2.865778034,1,0,0,0,0,0,0,0
054-000-006-019,18  COASTLINE DR,"$654,300 ",40907,7/28/04,5,625000,"(41.82010355, -70.54426902)",8.638446017,0,0,1,0,0,0,0,0
084-000-031-003,17  COLLEGE POND RD,"$255,000 ",41343,6/14/04,4,284000,"(41.9052025, -70.65484977)",4.795212598,0,1,0,0,0,0,0,0
084-000-030-004,34  COLLEGE POND RD,"$328,100 ",141531,7/28/04,3,300000,"(41.90289245, -70.65465794)",4.875460627,0,1,0,0,0,0,0,0
086-000-007-010,58  COLLEGE POND RD,"$331,300 ",67479,9/29/04,5,365000,"(41.900211, -70.65547776)",5.016814243,0,1,0,0,0,0,0,0
049-003-404-000,53  COLONY BEACH BLVD,"$254,300 ",7405,5/27/04,4,250000,"(41.8914145, -70.53672825)",4.107536121,0,1,0,0,0,0,0,0
107-000-026A-008,54  COLUMBIA CIR,"$302,700 ",21305,7/30/04,4,342000,"(41.933073799999995, -70.734313)",8.150223356,0,0,1,0,0,0,0,0
103-000-006-344,33  COOKE RD,"$332,400 ",30017,4/30/04,5,330000,"(41.9389073, -70.70168929)",6.446425266,0,1,0,0,0,0,0,0
103-000-006-068,55  COOKE RD,"$480,600 ",30453,2/25/04,5,410000,"(41.9395715, -70.69804415)",6.25688976,0,1,0,0,0,0,0,0
130-002-000A-140,21  CORAL ST,"$227,000 ",6970,8/31/04,3,263000,"(41.769549100000006, -70.6275844)",12.2486758,0,0,0,1,0,0,0,0
006-000-043-000,3  CORDAGE ST,"$230,600 ",7200,3/22/04,3,250000,"(41.97658415, -70.68305363)",5.951489367,0,1,0,0,0,0,0,0
011-000-038-000,214  COURT ST,"$286,900 ",10372,6/25/04,4,370000,"(41.9671846, -70.67794974)",5.478776374,0,1,0,0,0,0,0,0
000-000U-066A-000,1R  CRANFORD RD,"$32,100 ",0,10/1/04,3,95000,"(41.867778, -70.659997)",6.732314601,0,1,0,0,0,0,0,0
000-000U-057-000,73R  CRANFORD RD,"$39,100 ",0,5/30/04,2,38000,"(41.86757775, -70.66093418)",6.773844356,0,1,0,0,0,0,0,0
000-000C-009-000,6R  CURLEW POND RD,"$20,100 ",0,11/30/04,3,30000,"(41.89164085, -70.69197270000001)",6.915451057,0,1,0,0,0,0,0,0
050-001-306-000,1  CUTTER DR,"$280,900 ",11182,2/19/04,4,289000,"(41.878542200000005, -70.53958921)",4.836265156,0,1,0,0,0,0,0,0
050-001-330-000,18  CUTTER DR,"$252,000 ",10001,8/26/04,4,290000,"(41.87991795, -70.54041055)",4.732303252,0,1,0,0,0,0,0,0
123-001P-850-000,1  DANIEL CIR,"$289,300 ",36551,2/27/04,4,305000,"(41.8110835, -70.59550375)",9.149036389,0,0,1,0,0,0,0,0
107-000-064-002,8  DARBY STATION RD,"$516,900 ",124542,2/6/04,5,499960,"(41.92935745, -70.74738155)",8.845171437,0,0,1,0,0,0,0,0
016-000-036-000,5  DAVIS ST,"$309,700 ",5040,7/7/04,4,409900,"(41.95738024, -70.67087904)",4.954071022,0,1,0,0,0,0,0,0
052-000-032-046,2  DEREK DR,"$321,000 ",63123,10/15/04,6,356000,"(41.8528676, -70.53747578)",6.534597456,0,1,0,0,0,0,0,0
052-000-032-064,96  DEREK DR,"$387,900 ",67914,2/2/04,5,459900,"(41.8516982, -70.54569976)",6.494228423,0,1,0,0,0,0,0,0
045-000-039-390Z,4  DIAMOND ST,"$299,100 ",9492,3/22/04,5,288000,"(41.92434255, -70.55055311)",1.859049052,1,0,0,0,0,0,0,0
123-001P-1113-000,15  DICKSON DR,"$308,900 ",25661,8/27/04,5,369900,"(41.81525305, -70.59109089)",8.840931699,0,0,1,0,0,0,0,0
073-000-007-026,46  DONNA DR,"$332,300 ",25226,6/16/04,5,345000,"(41.894824299999996, -70.55032698)",3.585718823,1,0,0,0,0,0,0,0
112-000-003-179,34  DOROTHY DR,"$303,400 ",23483,8/25/04,4,285000,"(41.8427928, -70.59788735)",6.994897989,0,1,0,0,0,0,0,0
088-000-009D-000,160  DREW RD,"$344,300 ",74448,10/1/04,5,350000,"(41.9119432, -70.66334462)",4.950413887,0,1,0,0,0,0,0,0
104-000-014-003A,3  DUNDEE WAY,"$553,400 ",56589,12/16/04,6,649000,"(41.9480299, -70.71836846)",7.308049268,0,1,0,0,0,0,0,0
098-000-012A-000,5  DUNHAM RD,"$363,700 ",42650,6/29/04,5,405000,"(41.938546, -70.69764694)",6.239493888,0,1,0,0,0,0,0,0
026-000-015-062,43  DWIGHT AV,"$360,400 ",20020,10/14/04,6,350000,"(41.93638557, -70.64440563)",3.517701513,1,0,0,0,0,0,0,0
048-049-288-000,8  E CIRCUIT AVE,"$469,600 ",12197,1/6/04,5,445000,"(41.91423284, -70.54892091)",2.44218868,1,0,0,0,0,0,0,0
121-000-006-118,17  E WIND DR,"$224,500 ",10001,2/20/04,4,225000,"(41.82318471, -70.60403333)",8.381710931,0,0,1,0,0,0,0,0
048-000-038-006,21  EARL RD,"$258,400 ",5022,7/29/04,5,270000,"(41.90483265, -70.55980656)",2.767816316,1,0,0,0,0,0,0,0
077E-000-015-200,8  EDGEWOOD CIR,"$505,200 ",57024,12/29/04,5,533000,"(41.874750799999994, -70.59350712)",4.782576044,0,1,0,0,0,0,0,0
076-000-032-007,22  ELLIOT LN,"$322,100 ",25226,1/30/04,2,377500,"(41.92446325, -70.57547885)",1.274003287,1,0,0,0,0,0,0,0
076-000-032-039,27  ELLIOT LN,"$316,800 ",36987,5/28/04,4,361900,"(41.924482299999994, -70.57635774)",1.271255639,1,0,0,0,0,0,0,0
049-004-522-000,69  ELLISVILLE DR,"$249,700 ",6098,4/23/04,4,290000,"(41.88817805, -70.53381746)",4.376099085,0,1,0,0,0,0,0,0
049-004-540-000,90  ELLISVILLE DR,"$214,800 ",6098,3/26/04,4,186250,"(41.888003000000005, -70.534424)",4.370858315,0,1,0,0,0,0,0,0
054-000-001-003,6  ELLISVILLE RD,"$407,700 ",25661,5/7/04,6,427500,"(41.82739275, -70.54750072)",8.112877446,0,0,1,0,0,0,0,0
045-000-039-060,18  ELM ST,"$354,200 ",10001,8/26/04,5,258000,"(41.92569665, -70.55462695)",1.644284011,1,0,0,0,0,0,0,0
045-000-039-018Z,35  ELM ST,"$251,300 ",10276,11/30/04,3,270000,"(41.92473615, -70.55543756)",1.664994724,1,0,0,0,0,0,0,0
107-000-026-009,107  ESTA RD,"$285,100 ",10019,7/30/04,6,337500,"(41.9345983, -70.7313818)",7.991382677,0,1,0,0,0,0,0,0
050-000-039-747,23  EVERGREEN DR,"$269,400 ",20870,4/7/04,5,282000,"(41.8728583, -70.53699573)",5.249573411,0,1,0,0,0,0,0,0
050-000-039-734,24  EVERGREEN DR,"$325,200 ",15246,6/18/04,5,320000,"(41.8719156, -70.53743874)",5.300787996,0,1,0,0,0,0,0,0
048-054-238-000,17  EVERSON AV,"$227,800 ",19998,3/31/04,2,245000,"(41.89851635, -70.55295633)",3.298657951,1,0,0,0,0,0,0,0
077E-000-015-230,116  FAIRVIEW LN,"$517,500 ",78369,10/12/04,6,585000,"(41.87487585, -70.5897205)",4.742544321,0,1,0,0,0,0,0,0
077E-000-015-208,187  FAIRVIEW LN,"$604,100 ",153728,5/17/04,6,587850,"(41.8731547, -70.59551105)",4.91030848,0,1,0,0,0,0,0,0
077E-000-015-129,19  FAIRVIEW LN,"$449,700 ",42214,4/29/04,6,480000,"(41.88082429999999, -70.5930436)",4.366320441,0,1,0,0,0,0,0,0
096-000-001-006A,220  FEDERAL FURNACE RD,"$283,900 ",15246,12/23/04,4,318000,"(41.9230213, -70.70254483)",6.628951258,0,1,0,0,0,0,0,0
103-000-006-107,40  FEDERAL FURNACE RD,"$308,600 ",25226,1/29/04,5,334500,"(41.94023789999999, -70.69698144)",6.20060181,0,1,0,0,0,0,0,0
099-000-006-000,644  FEDERAL FURNACE RD,"$315,000 ",59638,4/2/04,5,360000,"(41.90509505, -70.71143581)",7.418568172,0,1,0,0,0,0,0,0
103-000-032-000,75  FEDERAL FURNACE RD,"$321,400 ",29582,10/15/04,6,295000,"(41.93655777, -70.70092651)",6.416293447,0,1,0,0,0,0,0,0
098-000-029K-000,92  FEDERAL FURNACE RD,"$288,300 ",66608,12/17/04,3,300000,"(41.93592337, -70.70126587)",6.436898737,0,1,0,0,0,0,0,0
027-000-030A-023,10  FIELDSTONE WAY,"$278,700 ",21305,4/20/04,3,259000,"(41.9412242, -70.65803000000001)",4.192347412,0,1,0,0,0,0,0,0
054-005-007-018,18  FLORENCE ST,"$191,900 ",7841,3/4/04,3,217900,"(41.82193955, -70.5466562)",8.490832776,0,0,1,0,0,0,0,0
054-005-007-028,28  FLORENCE ST,"$203,000 ",6843,4/30/04,3,226000,"(41.8220655, -70.54529345)",8.495406638,0,0,1,0,0,0,0,0
048-054-194-000Z,5  FLORIDA AVE W,"$271,500 ",15002,8/30/04,4,284300,"(41.8987604, -70.5502356)",3.337838698,1,0,0,0,0,0,0,0
122-000-005-023,30  FREEMAN DR,"$407,000 ",34809,6/10/04,6,409935,"(41.824997700000004, -70.58723225)",8.155295342,0,0,1,0,0,0,0,0
122-000-005-025,38  FREEMAN DR,"$435,100 ",29582,5/28/04,6,455000,"(41.82542525, -70.58661076)",8.123773644,0,0,1,0,0,0,0,0
122-000-005-034,43  FREEMAN DR,"$446,800 ",27404,8/30/04,6,422500,"(41.8250891, -70.5866896)",8.147183618,0,0,1,0,0,0,0,0
103-000-006-418,26  FULLER WAY,"$384,500 ",26097,9/29/04,5,409650,"(41.94294955, -70.69783121)",6.241534929,0,1,0,0,0,0,0,0
106-000-002-237,12  GABLE LN,"$302,700 ",20434,5/27/04,5,343000,"(41.9280529, -70.71793459999999)",7.350028713,0,1,0,0,0,0,0,0
054-000-010A-138,8  GALLAGHER DR,"$502,300 ",16117,7/30/04,6,580000,"(41.8103245, -70.5421188)",9.322104617,0,0,1,0,0,0,0,0
123-001P-1231-000,22  GARRETT PL,"$308,700 ",25226,9/27/04,5,359900,"(41.81449129999999, -70.59550324)",8.915199949,0,0,1,0,0,0,0,0
112-000-007-018,18  GRAYSTONE DR,"$416,700 ",108425,7/30/04,6,450000,"(41.84799625, -70.59331546)",6.605721561,0,1,0,0,0,0,0,0
077C-000-010-256,1  GREAT KAME,"$713,800 ",20255,7/30/04,5,182000,"(41.8892977, -70.60506495)",3.977929609,1,0,0,0,0,0,0,0
077C-000-010-259,11  GREAT KAME,"$630,800 ",12467,9/3/04,6,180000,"(41.8889468, -70.60584175)",4.015272305,0,1,0,0,0,0,0,0
077C-000-010-260,15  GREAT KAME,"$577,600 ",12981,5/17/04,4,180000,"(41.8887283, -70.60608618)",4.033976756,0,1,0,0,0,0,0,0
077C-000-010-267,20  GREAT KAME,"$656,900 ",13499,1/15/04,5,175000,"(41.888124499999996, -70.60611898)",4.073261037,0,1,0,0,0,0,0,0
077C-000-010-407,28  GREAT KAME,"$715,900 ",28475,7/13/04,5,240000,"(41.887637100000006, -70.60636098)",4.109128088,0,1,0,0,0,0,0,0
077C-000-010-515,30  GREAT KAME,"$761,100 ",27404,5/13/04,5,250000,"(41.88763555, -70.60672879)",4.11631997,0,1,0,0,0,0,0,0
077C-000-010-516,32  GREAT KAME,"$677,500 ",23048,11/16/04,5,270000,"(41.88740985, -70.60712678)",4.138490708,0,1,0,0,0,0,0,0
078D-000-016-132,10  GREAT POINTE,"$413,100 ",7675,8/10/04,4,400225,"(41.88764135, -70.57682413)",3.813775949,1,0,0,0,0,0,0,0
078D-000-016-151,11  GREAT POINTE,"$517,200 ",6887,8/5/04,6,564130,"(41.88726685, -70.57661681)",3.839619611,1,0,0,0,0,0,0,0
078D-000-016-133,14  GREAT POINTE,"$442,800 ",8407,8/3/04,5,446400,"(41.887639899999996, -70.57656628)",3.813876884,1,0,0,0,0,0,0,0
078D-000-016-150,15  GREAT POINTE,"$426,100 ",6634,7/29/04,4,483085,"(41.88727925, -70.57640289)",3.838791966,1,0,0,0,0,0,0,0
078D-000-016-149,19  GREAT POINTE,"$430,500 ",8228,7/20/04,4,436250,"(41.88732935, -70.57616076)",3.835404426,1,0,0,0,0,0,0,0
078D-000-016-139,32  GREAT POINTE,"$412,000 ",7214,6/15/04,4,400175,"(41.8874564, -70.57481311)",3.827771206,1,0,0,0,0,0,0,0
078D-000-016-140A,34  GREAT POINTE,"$495,900 ",7832,6/17/04,5,551900,"(41.8874026, -70.57450514)",3.831918984,1,0,0,0,0,0,0,0
078D-000-016-144,35  GREAT POINTE,"$484,000 ",7863,6/24/04,5,502065,"(41.8870966, -70.57494971)",3.852423986,1,0,0,0,0,0,0,0
